GID	GO_ONTOLOGY	GO_ID	GO_TERM_NAME	GO_EVIDENCE_CODE
CNAG_02282	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_02283	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_02283	Molecular Function	GO:0004339	"glucan 1,4-alpha-glucosidase activity"	IEA
CNAG_02283	Biological Process	GO:0005976	polysaccharide metabolic process	IEA
CNAG_02283	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02284	Molecular Function	GO:0003826	alpha-ketoacid dehydrogenase activity	IEA
CNAG_02284	Molecular Function	GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	IEA
CNAG_02284	Cellular Component	GO:0005759	mitochondrial matrix	IEA
CNAG_02284	Biological Process	GO:0009083	branched-chain amino acid catabolic process	IEA
CNAG_02284	Molecular Function	GO:0016624	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"	IEA
CNAG_02285	Molecular Function	GO:0004550	nucleoside diphosphate kinase activity	IEA
CNAG_02285	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02285	Biological Process	GO:0006165	nucleoside diphosphate phosphorylation	IEA
CNAG_02285	Biological Process	GO:0006183	GTP biosynthetic process	IEA
CNAG_02285	Biological Process	GO:0006228	UTP biosynthetic process	IEA
CNAG_02285	Biological Process	GO:0006241	CTP biosynthetic process	IEA
CNAG_02287	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02287	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02288	Molecular Function	GO:0005347	ATP transmembrane transporter activity	IEA
CNAG_02288	Cellular Component	GO:0005739	mitochondrion	IEA
CNAG_02288	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02288	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02289	Molecular Function	GO:0003924	GTPase activity	IEA
CNAG_02289	Molecular Function	GO:0005525	GTP binding	IEA
CNAG_02289	Cellular Component	GO:0016020	membrane	IEA
CNAG_02289	Biological Process	GO:0032482	Rab protein signal transduction	IEA
CNAG_02290	Biological Process	GO:0006368	transcription elongation from RNA polymerase II promoter	IEA
CNAG_02290	Biological Process	GO:0016570	Histone modification	IEA
CNAG_02290	Cellular Component	GO:0016593	Cdc73/Paf1 complex	IEA
CNAG_02291	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02291	Biological Process	GO:0008608	attachment of spindle microtubules to kinetochore	IEA
CNAG_02291	Cellular Component	GO:0042729	DASH complex	IEA
CNAG_02291	Cellular Component	GO:0072686	mitotic spindle	IEA
CNAG_02292	Biological Process	GO:0006801	superoxide metabolic process	IEA
CNAG_02292	Biological Process	GO:0030001	metal ion transport	IEA
CNAG_02292	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02292	Cellular Component	GO:1903561	extracellular vesicle	HDA
CNAG_02294	Molecular Function	GO:0004638	phosphoribosylaminoimidazole carboxylase activity	IEA
CNAG_02294	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02294	Biological Process	GO:0006189	'de novo' IMP biosynthetic process	IEA
CNAG_02294	Molecular Function	GO:0043727	5-amino-4-imidazole carboxylate lyase activity	IEA
CNAG_02294	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02295	Molecular Function	GO:0016740	transferase activity	IEA
CNAG_02296	Molecular Function	GO:0004747	ribokinase activity	IEA
CNAG_02296	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02296	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02296	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02296	Biological Process	GO:0006014	D-ribose metabolic process	IEA
CNAG_02296	Molecular Function	GO:0016301	kinase activity	IEA
CNAG_02296	Biological Process	GO:0019303	D-ribose catabolic process	IEA
CNAG_02296	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02297	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02298	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02299	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02299	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_02299	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02300	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02300	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02301	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02301	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_02301	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02301	Biological Process	GO:0006396	RNA processing	IEA
CNAG_02301	Cellular Component	GO:1990904	ribonucleoprotein complex	IEA
CNAG_02303	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02303	Molecular Function	GO:0004386	helicase activity	IEA
CNAG_02303	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02304	Biological Process	GO:0000002	mitochondrial genome maintenance	IEA
CNAG_02304	Biological Process	GO:0006869	lipid transport	IEA
CNAG_02304	Biological Process	GO:0007005	mitochondrion organization	IEA
CNAG_02304	Molecular Function	GO:0008289	lipid binding	IEA
CNAG_02304	Cellular Component	GO:0031307	integral component of mitochondrial outer membrane	IEA
CNAG_02304	Cellular Component	GO:0032865	ERMES complex	IEA
CNAG_02305	Molecular Function	GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	IEA
CNAG_02305	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_02305	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_02305	Cellular Component	GO:0042025	host cell nucleus	IEA
CNAG_02305	Biological Process	GO:0042542	response to hydrogen peroxide	HMP
CNAG_02305	Biological Process	GO:0045230	capsule organization	HMP
CNAG_02305	Biological Process	GO:0072735	response to tert-butyl hydroperoxide	HMP
CNAG_02307	Biological Process	GO:0006520	cellular amino acid metabolic process	IEA
CNAG_02307	Molecular Function	GO:0016829	lyase activity	IEA
CNAG_02307	Molecular Function	GO:0030170	pyridoxal phosphate binding	IEA
CNAG_02309	Molecular Function	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	IEA
CNAG_02310	Cellular Component	GO:0005956	protein kinase CK2 complex	IEA
CNAG_02310	Molecular Function	GO:0016301	kinase activity	IEA
CNAG_02310	Molecular Function	GO:0019887	protein kinase regulator activity	IEA
CNAG_02312	Molecular Function	GO:0004806	triglyceride lipase activity	IEA
CNAG_02312	Biological Process	GO:0006629	lipid metabolic process	IEA
CNAG_02312	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02312	Biological Process	GO:0016042	lipid catabolic process	IEA
CNAG_02313	Cellular Component	GO:0000813	ESCRT I complex	IEA
CNAG_02313	Biological Process	GO:0015031	protein transport	IEA
CNAG_02313	Biological Process	GO:0032509	endosome transport via multivesicular body sorting pathway	IEA
CNAG_02314	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02315	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_02315	Molecular Function	GO:0008121	ubiquinol-cytochrome-c reductase activity	IEA
CNAG_02315	Cellular Component	GO:0016020	membrane	IEA
CNAG_02315	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02315	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02315	Molecular Function	GO:0051537	"2 iron, 2 sulfur cluster binding"	IEA
CNAG_02315	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_02315	Cellular Component	GO:0070469	respirasome	IEA
CNAG_02316	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_02316	Molecular Function	GO:0004525	ribonuclease III activity	IEA
CNAG_02316	Cellular Component	GO:0005762	mitochondrial large ribosomal subunit	IEA
CNAG_02316	Biological Process	GO:0006396	RNA processing	IEA
CNAG_02316	Biological Process	GO:0032543	mitochondrial translation	IEA
CNAG_02317	Molecular Function	GO:0016274	protein-arginine N-methyltransferase activity	IEA
CNAG_02317	Biological Process	GO:0018216	peptidyl-arginine methylation	IEA
CNAG_02321	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02322	Molecular Function	GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	IEA
CNAG_02322	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_02322	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_02322	Cellular Component	GO:0042025	host cell nucleus	IEA
CNAG_02322	Biological Process	GO:1901914	negative regulation of capsule organization	HMP
CNAG_02323	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_02323	Molecular Function	GO:0003909	DNA ligase activity	IEA
CNAG_02323	Molecular Function	GO:0003910	DNA ligase (ATP) activity	IEA
CNAG_02323	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02323	Biological Process	GO:0006260	DNA replication	IEA
CNAG_02323	Biological Process	GO:0006281	DNA repair	IEA
CNAG_02323	Biological Process	GO:0006310	DNA recombination	IEA
CNAG_02323	Biological Process	GO:0051103	DNA ligation involved in DNA repair	IEA
CNAG_02325	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02326	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02326	Cellular Component	GO:0033180	"proton-transporting V-type ATPase, V1 domain"	IEA
CNAG_02326	Biological Process	GO:0046034	ATP metabolic process	IEA
CNAG_02326	Molecular Function	GO:0046933	"proton-transporting ATP synthase activity, rotational mechanism"	IEA
CNAG_02326	Molecular Function	GO:0046961	"proton-transporting ATPase activity, rotational mechanism"	IEA
CNAG_02326	Biological Process	GO:1902600	proton transmembrane transport	IEA
CNAG_02327	Molecular Function	GO:0030145	manganese ion binding	IEA
CNAG_02327	Molecular Function	GO:0070006	metalloaminopeptidase activity	IEA
CNAG_02328	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02328	Biological Process	GO:0042254	ribosome biogenesis	IEA
CNAG_02330	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_02330	Cellular Component	GO:0005840	ribosome	IEA
CNAG_02330	Biological Process	GO:0006412	translation	IEA
CNAG_02331	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_02331	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_02331	Biological Process	GO:0006412	translation	IEA
CNAG_02331	Cellular Component	GO:0015935	small ribosomal subunit	IEA
CNAG_02331	Molecular Function	GO:0019843	rRNA binding	IEA
CNAG_02333	Cellular Component	GO:0000500	RNA polymerase I upstream activating factor complex	IEA
CNAG_02333	Biological Process	GO:0042790	nucleolar large rRNA transcription by RNA polymerase I	IEA
CNAG_02335	Molecular Function	GO:0016787	hydrolase activity	IEA
CNAG_02335	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02335	Molecular Function	GO:0051998	protein carboxyl O-methyltransferase activity	IEA
CNAG_02336	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02336	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_02336	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02337	Biological Process	GO:0009116	nucleoside metabolic process	IEA
CNAG_02337	Molecular Function	GO:0016757	glycosyltransferase activity	IEA
CNAG_02338	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02338	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_02339	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02342	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02343	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02344	Biological Process	GO:0009116	nucleoside metabolic process	IEA
CNAG_02344	Molecular Function	GO:0016757	glycosyltransferase activity	IEA
CNAG_02345	Molecular Function	GO:0005515	protein binding	IPI
CNAG_02345	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02345	Cellular Component	GO:0035098	ESC/E(Z) complex	IPI
CNAG_02347	Cellular Component	GO:0005789	endoplasmic reticulum membrane	IEA
CNAG_02347	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02348	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02348	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_02348	Biological Process	GO:0032981	mitochondrial respiratory chain complex I assembly	IEA
CNAG_02349	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02351	Biological Process	GO:0000272	polysaccharide catabolic process	IEA
CNAG_02351	Molecular Function	GO:0004553	"hydrolase activity, hydrolyzing O-glycosyl compounds"	IEA
CNAG_02351	Molecular Function	GO:0004568	chitinase activity	IEA
CNAG_02351	Biological Process	GO:0005975	carbohydrate metabolic process	IEA
CNAG_02351	Biological Process	GO:0006032	chitin catabolic process	IEA
CNAG_02351	Biological Process	GO:0007618	mating	IMP
CNAG_02351	Biological Process	GO:0072706	response to sodium dodecyl sulfate	IMP
CNAG_02353	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02354	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_02354	Cellular Component	GO:0005840	ribosome	IEA
CNAG_02354	Biological Process	GO:0006412	translation	IEA
CNAG_02355	Cellular Component	GO:0005789	endoplasmic reticulum membrane	IEA
CNAG_02355	Biological Process	GO:0008643	carbohydrate transport	IEA
CNAG_02355	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02355	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02356	Cellular Component	GO:0005789	endoplasmic reticulum membrane	IEA
CNAG_02356	Biological Process	GO:0006506	GPI anchor biosynthetic process	IEA
CNAG_02356	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02357	Molecular Function	GO:0004672	protein kinase activity	IEA
CNAG_02357	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02357	Biological Process	GO:0006468	protein phosphorylation	IEA
CNAG_02357	Biological Process	GO:0031505	fungal-type cell wall organization	IMP
CNAG_02357	Biological Process	GO:0034605	cellular response to heat	HMP
CNAG_02357	Biological Process	GO:0036245	cellular response to menadione	HMP
CNAG_02357	Biological Process	GO:0042438	melanin biosynthetic process	IMP
CNAG_02357	Biological Process	GO:0042493	response to drug	IMP
CNAG_02357	Biological Process	GO:0045230	capsule organization	IMP
CNAG_02357	Biological Process	GO:0070301	cellular response to hydrogen peroxide	HMP
CNAG_02357	Biological Process	GO:0071236	cellular response to antibiotic	HMP
CNAG_02357	Biological Process	GO:0071276	cellular response to cadmium ion	HMP
CNAG_02357	Biological Process	GO:0071472	cellular response to salt stress	HMP
CNAG_02357	Biological Process	GO:0072703	cellular response to methyl methanesulfonate	HMP
CNAG_02357	Biological Process	GO:0072706	response to sodium dodecyl sulfate	IMP
CNAG_02357	Biological Process	GO:0072707	cellular response to sodium dodecyl sulfate	HMP
CNAG_02357	Biological Process	GO:0072711	cellular response to hydroxyurea	HMP
CNAG_02357	Biological Process	GO:0072738	cellular response to diamide	HMP
CNAG_02357	Biological Process	GO:1904577	cellular response to tunicamycin	HMP
CNAG_02357	Biological Process	GO:1905181	regulation of urease activity	HMP
CNAG_02358	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02359	Cellular Component	GO:0005840	ribosome	IEA
CNAG_02360	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02361	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02361	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_02361	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02362	Molecular Function	GO:0003725	double-stranded RNA binding	IEA
CNAG_02363	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02363	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_02363	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02364	Molecular Function	GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	IEA
CNAG_02364	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_02364	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_02364	Biological Process	GO:0009651	response to salt stress	HMP
CNAG_02364	Cellular Component	GO:0042025	host cell nucleus	IEA
CNAG_02364	Biological Process	GO:0072735	response to tert-butyl hydroperoxide	HMP
CNAG_02364	Biological Process	GO:0072737	response to diamide	HMP
CNAG_02365	Molecular Function	GO:0004040	amidase activity	IEA
CNAG_02365	Molecular Function	GO:0043864	indoleacetamide hydrolase activity	IEA
CNAG_02366	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_02366	Molecular Function	GO:0003867	4-aminobutyrate transaminase activity	IEA
CNAG_02366	Molecular Function	GO:0008483	transaminase activity	IEA
CNAG_02366	Biological Process	GO:0009448	gamma-aminobutyric acid metabolic process	IEA
CNAG_02366	Molecular Function	GO:0030170	pyridoxal phosphate binding	IEA
CNAG_02366	Molecular Function	GO:0034386	4-aminobutyrate:2-oxoglutarate transaminase activity	IEA
CNAG_02367	Molecular Function	GO:0003924	GTPase activity	IEA
CNAG_02367	Molecular Function	GO:0005525	GTP binding	IEA
CNAG_02368	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_02368	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02368	Biological Process	GO:0031047	gene silencing by RNA	IEA
CNAG_02372	Cellular Component	GO:0005789	endoplasmic reticulum membrane	IEA
CNAG_02372	Biological Process	GO:0006629	lipid metabolic process	IEA
CNAG_02372	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02372	Molecular Function	GO:0016627	"oxidoreductase activity, acting on the CH-CH group of donors"	IEA
CNAG_02373	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02373	Biological Process	GO:0006904	vesicle docking involved in exocytosis	IEA
CNAG_02373	Biological Process	GO:0016192	vesicle-mediated transport	IEA
CNAG_02374	Biological Process	GO:0000226	microtubule cytoskeleton organization	IEA
CNAG_02374	Cellular Component	GO:0000922	spindle pole	IEA
CNAG_02374	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02374	Cellular Component	GO:0005815	microtubule organizing center	IEA
CNAG_02374	Cellular Component	GO:0005874	microtubule	IEA
CNAG_02374	Biological Process	GO:0007020	microtubule nucleation	IEA
CNAG_02374	Molecular Function	GO:0043015	gamma-tubulin binding	IEA
CNAG_02375	Biological Process	GO:0034605	cellular response to heat	HMP
CNAG_02375	Molecular Function	GO:0042578	phosphoric ester hydrolase activity	IEA
CNAG_02375	Molecular Function	GO:0043813	"phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity"	IEA
CNAG_02375	Biological Process	GO:0046856	phosphatidylinositol dephosphorylation	IEA
CNAG_02375	Biological Process	GO:0071276	cellular response to cadmium ion	HMP
CNAG_02375	Biological Process	GO:1901914	negative regulation of capsule organization	HMP
CNAG_02376	Biological Process	GO:0009847	spore germination	IMP
CNAG_02376	Biological Process	GO:0034306	regulation of sexual sporulation	IMP
CNAG_02376	Biological Process	GO:0060258	negative regulation of filamentous growth	IMP
CNAG_02377	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_02377	Molecular Function	GO:0016620	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	IEA
CNAG_02377	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_02378	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_02378	Cellular Component	GO:0005730	nucleolus	IEA
CNAG_02378	Cellular Component	GO:0019013	viral nucleocapsid	IEA
CNAG_02381	Molecular Function	GO:0005085	guanyl-nucleotide exchange factor activity	IEA
CNAG_02383	Biological Process	GO:0001510	RNA methylation	IEA
CNAG_02383	Molecular Function	GO:0008168	methyltransferase activity	IEA
CNAG_02383	Biological Process	GO:0009452	7-methylguanosine RNA capping	IEA
CNAG_02384	Cellular Component	GO:0005739	mitochondrion	IEA
CNAG_02385	Molecular Function	GO:0003896	DNA primase activity	IEA
CNAG_02385	Biological Process	GO:0006269	"DNA replication, synthesis of RNA primer"	IEA
CNAG_02385	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02386	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02387	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02389	Molecular Function	GO:0004672	protein kinase activity	IEA
CNAG_02389	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02389	Biological Process	GO:0006468	protein phosphorylation	IEA
CNAG_02389	Biological Process	GO:1901914	negative regulation of capsule organization	HMP
CNAG_02389	Biological Process	GO:1905182	positive regulation of urease activity	HMP
CNAG_02393	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02393	Biological Process	GO:0007165	signal transduction	IEA
CNAG_02395	Biological Process	GO:0006511	ubiquitin-dependent protein catabolic process	IEA
CNAG_02395	Biological Process	GO:0016579	protein deubiquitination	IEA
CNAG_02395	N/A	GO:0036459	GO_0036459	IEA
CNAG_02396	Molecular Function	GO:0003682	chromatin binding	IEA
CNAG_02398	Molecular Function	GO:0005085	guanyl-nucleotide exchange factor activity	IEA
CNAG_02399	Molecular Function	GO:0004362	glutathione-disulfide reductase (NADPH) activity	IEA
CNAG_02399	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02399	Biological Process	GO:0006749	glutathione metabolic process	IEA
CNAG_02399	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_02399	Molecular Function	GO:0016668	"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	IEA
CNAG_02399	Biological Process	GO:0045454	cell redox homeostasis	IEA
CNAG_02399	Molecular Function	GO:0050660	flavin adenine dinucleotide binding	IEA
CNAG_02399	Molecular Function	GO:0050661	NADP binding	IEA
CNAG_02399	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_02400	Cellular Component	GO:0000502	proteasome complex	IEA
CNAG_02400	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02400	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02401	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02401	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_02401	Biological Process	GO:0006397	mRNA processing	IEA
CNAG_02402	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02403	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_02403	Biological Process	GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	IEA
CNAG_02403	Cellular Component	GO:0070469	respirasome	IEA
CNAG_02406	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02406	Biological Process	GO:0006270	DNA replication initiation	IEA
CNAG_02406	Biological Process	GO:0007049	cell cycle	IEA
CNAG_02406	Biological Process	GO:0051301	cell division	IEA
CNAG_02407	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_02407	Molecular Function	GO:0004630	phospholipase D activity	IEA
CNAG_02407	Biological Process	GO:0006654	phosphatidic acid biosynthetic process	IEA
CNAG_02407	Biological Process	GO:0016042	lipid catabolic process	IEA
CNAG_02407	Biological Process	GO:0048017	inositol lipid-mediated signaling	IEA
CNAG_02407	Molecular Function	GO:0070290	N-acylphosphatidylethanolamine-specific phospholipase D activity	IEA
CNAG_02408	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02408	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02409	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02412	Cellular Component	GO:0005730	nucleolus	IEA
CNAG_02412	Biological Process	GO:0006364	rRNA processing	IEA
CNAG_02415	Molecular Function	GO:0005509	calcium ion binding	IEA
CNAG_02415	Molecular Function	GO:0005544	calcium-dependent phospholipid binding	IEA
CNAG_02415	Biological Process	GO:0034605	cellular response to heat	HMP
CNAG_02417	Molecular Function	GO:0016787	hydrolase activity	IEA
CNAG_02418	Molecular Function	GO:0000166	nucleotide binding	IEA
CNAG_02418	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02418	Molecular Function	GO:0004812	aminoacyl-tRNA ligase activity	IEA
CNAG_02418	Molecular Function	GO:0004816	asparagine-tRNA ligase activity	IEA
CNAG_02418	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02418	Biological Process	GO:0006418	tRNA aminoacylation for protein translation	IEA
CNAG_02418	Biological Process	GO:0006421	asparaginyl-tRNA aminoacylation	IEA
CNAG_02419	Biological Process	GO:0006891	intra-Golgi vesicle-mediated transport	IEA
CNAG_02419	Cellular Component	GO:1990071	TRAPPII protein complex	IEA
CNAG_02420	Molecular Function	GO:0005085	guanyl-nucleotide exchange factor activity	IEA
CNAG_02426	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02426	Cellular Component	GO:0005681	spliceosomal complex	IEA
CNAG_02426	Biological Process	GO:0006396	RNA processing	IEA
CNAG_02426	Biological Process	GO:0008380	RNA splicing	IEA
CNAG_02427	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_02428	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_02428	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02428	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_02430	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02430	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02430	Molecular Function	GO:0016887	ATP hydrolysis activity	IEA
CNAG_02430	Molecular Function	GO:0042626	ATPase-coupled transmembrane transporter activity	IEA
CNAG_02430	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_02431	Molecular Function	GO:0016788	"hydrolase activity, acting on ester bonds"	IEA
CNAG_02431	Molecular Function	GO:0016888	"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	IEA
CNAG_02433	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_02433	Molecular Function	GO:0016971	flavin-linked sulfhydryl oxidase activity	IEA
CNAG_02433	Molecular Function	GO:0016972	thiol oxidase activity	IEA
CNAG_02433	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_02434	Biological Process	GO:0030001	metal ion transport	IEA
CNAG_02434	Biological Process	GO:0042438	melanin biosynthetic process	IMP
CNAG_02434	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_02435	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_02435	Biological Process	GO:0007618	mating	HMP
CNAG_02435	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_02435	Biological Process	GO:0009583	detection of light stimulus	IMP
CNAG_02435	Biological Process	GO:0042542	response to hydrogen peroxide	HMP
CNAG_02435	Molecular Function	GO:0043565	sequence-specific DNA binding	IEA
CNAG_02435	Biological Process	GO:0072706	response to sodium dodecyl sulfate	HMP
CNAG_02435	Biological Process	GO:0072735	response to tert-butyl hydroperoxide	HMP
CNAG_02435	Biological Process	GO:1904576	response to tunicamycin	HMP
CNAG_02436	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_02436	Cellular Component	GO:0005856	cytoskeleton	IEA
CNAG_02437	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_02437	Molecular Function	GO:0005515	protein binding	IEA
CNAG_02437	Cellular Component	GO:0005634	nucleus	IEA
CNAG_02437	Cellular Component	GO:0005730	nucleolus	IEA
CNAG_02437	Biological Process	GO:0006364	rRNA processing	IEA
CNAG_02437	Biological Process	GO:0006396	RNA processing	IEA
CNAG_02437	Biological Process	GO:0006397	mRNA processing	IEA
CNAG_02439	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_02440	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_02440	Biological Process	GO:0006457	protein folding	IEA
CNAG_02440	Molecular Function	GO:0051082	unfolded protein binding	IEA
CNAG_02441	Molecular Function	GO:0005085	guanyl-nucleotide exchange factor activity	IEA
CNAG_02443	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_02443	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_02443	Cellular Component	GO:0070469	respirasome	IEA
